iter	Logloss
0	0.6856221526
1	0.6781181973
2	0.6706107237
3	0.6633369308
4	0.6564365432
5	0.649707722
6	0.643130459
7	0.6364304099
8	0.6298255149
9	0.6234087542
10	0.6173873939
11	0.6111166825
12	0.6051682866
13	0.5993107122
14	0.5935229007
15	0.5881783378
16	0.5826082
17	0.5773133465
18	0.5722805238
19	0.5674885663
20	0.5624721727
21	0.5578616258
22	0.5530728186
23	0.5484704854
24	0.5439286409
25	0.5397368908
26	0.5354492744
27	0.5313147423
28	0.5274322609
29	0.5234279349
30	0.5193869244
31	0.5154469873
32	0.5115881409
33	0.5079346666
34	0.5043763797
35	0.5010721565
36	0.4977077614
37	0.4945698043
38	0.4913708606
39	0.4883503674
40	0.4854054907
41	0.4824153881
42	0.4796261211
43	0.4768914372
44	0.4741239914
45	0.4714001822
46	0.4686929111
47	0.466038042
48	0.4634833005
49	0.4611198557
50	0.4586405354
51	0.4560833935
52	0.453740896
53	0.4513677473
54	0.4492371865
55	0.4469093427
56	0.4447515739
57	0.4427970915
58	0.4407105807
59	0.4385786056
60	0.4366985026
61	0.434688496
62	0.4326884308
63	0.4308495512
64	0.4289694864
65	0.4271342474
66	0.4253906887
67	0.4237364129
68	0.4222096387
69	0.4205822442
70	0.4189894109
71	0.4174650132
72	0.4160844571
73	0.4146402986
74	0.4132047169
75	0.4118276619
76	0.4102657578
77	0.409015645
78	0.4077390787
79	0.4063854092
80	0.4051361786
81	0.4038808243
82	0.4025926215
83	0.4014870549
84	0.4002357097
85	0.3990937118
86	0.3979861275
87	0.3969113498
88	0.3957838129
89	0.3947540712
90	0.3936246663
91	0.3926379682
92	0.3915809251
93	0.3906489058
94	0.3896530795
95	0.38872648
96	0.3877503432
97	0.3869177651
98	0.3860794269
99	0.3852467213
100	0.3844426055
101	0.3836367922
102	0.3827476228
103	0.3819025071
104	0.3811594516
105	0.3804980426
106	0.3797870522
107	0.3791387731
108	0.3784362175
109	0.377759624
110	0.3770364228
111	0.3763196727
112	0.3756968937
113	0.3748896703
114	0.3743422298
115	0.373660692
116	0.373154589
117	0.3726384803
118	0.371942799
119	0.3713288059
120	0.3708638873
121	0.3701309119
122	0.3695569018
123	0.369029884
124	0.3686108194
125	0.3681521711
126	0.3676143441
127	0.3671506589
128	0.3666864295
129	0.3662370487
130	0.3657496354
131	0.3653730903
132	0.3649594169
133	0.3645831191
134	0.3640647152
135	0.3635417244
136	0.3631490175
137	0.3628288056
138	0.3624582478
139	0.3619690069
140	0.3616156197
141	0.3611213383
142	0.3607634912
143	0.3603740627
144	0.3600860709
145	0.3596423531
146	0.3593279072
147	0.3589653725
148	0.358651146
149	0.3583552412
150	0.358064627
151	0.3576857571
152	0.3573658256
153	0.3570300148
154	0.3567098408
155	0.3564638618
156	0.3562020008
157	0.3558905521
158	0.3555856346
159	0.3552798868
160	0.354966535
161	0.354727659
162	0.3545388099
163	0.3542456777
164	0.3540025861
165	0.3537746972
166	0.3534552524
167	0.3532381544
168	0.3529080458
169	0.3527058579
170	0.3524474346
171	0.3522426052
172	0.3519936268
173	0.3517441759
174	0.3515103834
175	0.3511659229
176	0.3509672585
177	0.350753603
178	0.3504898454
179	0.3503120978
180	0.3501425095
181	0.3498921376
182	0.3497575105
183	0.3495599632
184	0.3494015741
185	0.3491675242
186	0.34899303
187	0.3488507595
188	0.3486766973
189	0.3483944279
190	0.3482715105
191	0.3481244015
192	0.3479834307
193	0.3478204925
194	0.3475104527
195	0.34730796
196	0.3471878973
197	0.3470375271
198	0.3469006631
199	0.3466275044
200	0.3464987871
201	0.3464065741
202	0.3461987809
203	0.3460552135
204	0.3459442461
205	0.3457386276
206	0.3455968818
207	0.3454602452
208	0.3453493947
209	0.3452415324
210	0.3450096705
211	0.3448805454
212	0.3447891852
213	0.3446673648
214	0.3445443398
215	0.3443589326
216	0.3441955534
217	0.3440868054
218	0.3439722628
219	0.3437714922
220	0.3436477491
221	0.3434416673
222	0.3432386164
223	0.3431356585
224	0.3430217372
225	0.3429292348
226	0.3428673465
227	0.3427659887
228	0.3426590596
229	0.3426053566
230	0.3424123004
231	0.3422146587
232	0.3420893694
233	0.3419247374
234	0.341800774
235	0.3417139868
236	0.3416501888
237	0.3415873545
238	0.3414229055
239	0.3413772098
240	0.3412087643
241	0.3410352214
242	0.3409522168
243	0.3408346248
244	0.3407771156
245	0.3407054873
246	0.340648407
247	0.34056864
248	0.340494663
249	0.3404242516
250	0.3403419993
251	0.3402183074
252	0.3401423525
253	0.3400587456
