iter	Logloss
0	0.6856021907
1	0.6782178253
2	0.671004272
3	0.6636267951
4	0.6567208019
5	0.6500080876
6	0.6433910093
7	0.6369403619
8	0.6306273067
9	0.6244406539
10	0.6181447697
11	0.6121340583
12	0.6062207639
13	0.6006314838
14	0.5951696429
15	0.5898453438
16	0.5846803879
17	0.5794260794
18	0.5742973589
19	0.5694958408
20	0.5647870112
21	0.5600069178
22	0.5554838423
23	0.5508323756
24	0.5463830684
25	0.5421457587
26	0.5380862817
27	0.5340898855
28	0.5301980185
29	0.5263865961
30	0.522391185
31	0.5187452528
32	0.5152177684
33	0.5117567484
34	0.5083820045
35	0.5050985179
36	0.5016199847
37	0.4982493176
38	0.4951479758
39	0.4919121411
40	0.4889682826
41	0.4858512494
42	0.4830529795
43	0.480086931
44	0.4770499093
45	0.4744623582
46	0.471686996
47	0.4691727667
48	0.4667459937
49	0.4643515673
50	0.4620418718
51	0.4595287052
52	0.4570887991
53	0.4547336105
54	0.4526281419
55	0.450395214
56	0.4481703089
57	0.4458700047
58	0.443916251
59	0.441931166
60	0.4399770471
61	0.4379844699
62	0.4360424061
63	0.4343446753
64	0.4324727786
65	0.4307296073
66	0.4290025117
67	0.4271043752
68	0.4254447364
69	0.423821731
70	0.4222044815
71	0.4206713883
72	0.4191786622
73	0.4176606817
74	0.4161994286
75	0.4147709379
76	0.4134232011
77	0.4120547432
78	0.410853529
79	0.4095529617
80	0.4084036023
81	0.4070995232
82	0.4059387007
83	0.4047405775
84	0.4033344076
85	0.4020842904
86	0.4009046688
87	0.3995751128
88	0.3985100118
89	0.3974713795
90	0.3963216976
91	0.3953270415
92	0.3943529644
93	0.3934882166
94	0.3926410556
95	0.3915466994
96	0.39070033
97	0.3897268562
98	0.3887200138
99	0.3878525212
100	0.3869107631
101	0.3860872117
102	0.385338757
103	0.3846566502
104	0.3839848669
105	0.3832613321
106	0.3823847539
107	0.3816397448
108	0.3808121838
109	0.3799996135
110	0.3793273823
111	0.3785490012
112	0.3777748865
113	0.3770437767
114	0.3763213172
115	0.3756335281
116	0.375036162
117	0.3742693651
118	0.3735547594
119	0.3729975126
120	0.3723397721
121	0.3715944231
122	0.370960944
123	0.3703258108
124	0.3698270117
125	0.3693497115
126	0.3688292964
127	0.3683330447
128	0.3678445504
129	0.3674378348
130	0.3669985865
131	0.3664714549
132	0.3659668717
133	0.3654200279
134	0.3647789708
135	0.3643326183
136	0.3637032301
137	0.3633747543
138	0.3629921374
139	0.362602656
140	0.3621457886
141	0.3618500061
142	0.3614939449
143	0.360918634
144	0.3603292003
145	0.359972615
146	0.3595431155
147	0.3592243897
148	0.3589102408
149	0.3585941531
150	0.358205665
151	0.3578352681
152	0.3574298281
153	0.3570551935
154	0.3566859678
155	0.3564025779
156	0.3559575773
157	0.3555964862
158	0.3552332514
159	0.3549145977
160	0.3546531672
161	0.3541827343
162	0.3539016212
163	0.3536402818
164	0.3532510305
165	0.352904156
166	0.3525812361
167	0.3523502336
168	0.3521330842
169	0.3518388716
170	0.3516082604
171	0.3513187588
172	0.3510451164
173	0.3508438752
174	0.3504884252
175	0.3502933793
176	0.3501002227
177	0.3498347737
178	0.3495357068
179	0.3493276139
180	0.3491485273
181	0.349004405
182	0.3488166615
