iter	Logloss
0	0.6856259112
1	0.6782581847
2	0.6710551965
3	0.6636913388
4	0.6567945379
5	0.6500760886
6	0.6434795558
7	0.6370568318
8	0.6307667402
9	0.624630557
10	0.6183703371
11	0.6124921286
12	0.6067236749
13	0.6009550703
14	0.5955096816
15	0.5901690679
16	0.5849761957
17	0.5798840255
18	0.5749256771
19	0.5701116804
20	0.5653673672
21	0.5607803367
22	0.5562820083
23	0.5519195625
24	0.5476217576
25	0.5434382336
26	0.5393558318
27	0.5353870945
28	0.5314937027
29	0.5276782149
30	0.5236824687
31	0.5200369667
32	0.5164859419
33	0.5130259896
34	0.5096557855
35	0.5062130413
36	0.5028505215
37	0.4996863826
38	0.4965971244
39	0.4935323742
40	0.4905565315
41	0.4874171971
42	0.4843793325
43	0.4816567142
44	0.4787547204
45	0.4760813641
46	0.4735465492
47	0.4709446242
48	0.46852303
49	0.4661302228
50	0.4638209314
51	0.4615484086
52	0.4593137516
53	0.4569327661
54	0.4547187965
55	0.4526524557
56	0.450526722
57	0.4485537264
58	0.4465945999
59	0.444503281
60	0.4424318547
61	0.4404086116
62	0.4384280912
63	0.4366783151
64	0.434902337
65	0.4332755331
66	0.4316825196
67	0.4301220131
68	0.4285852189
69	0.4271122701
70	0.425466133
71	0.4239683981
72	0.4224156164
73	0.4208817792
74	0.4195567946
75	0.4182685924
76	0.4167176082
77	0.415270804
78	0.4139116531
79	0.4125586603
80	0.4112302469
81	0.410105937
82	0.409001988
83	0.4077182033
84	0.4065118256
85	0.4054112253
86	0.4042214921
87	0.4030970594
88	0.4019777125
89	0.4008183638
90	0.3998243429
91	0.3987168038
92	0.3976928572
93	0.3967440105
94	0.3959010232
95	0.394925431
96	0.3941082938
97	0.3931902342
98	0.3922536528
99	0.3915142438
100	0.3906446724
101	0.3898074421
102	0.3891116596
103	0.3883937644
104	0.3875897662
105	0.3869341516
106	0.3862211388
107	0.3855840199
108	0.3848966482
109	0.3840569281
110	0.3833837621
111	0.3825311092
112	0.3819537942
113	0.3812662767
114	0.3806143478
115	0.3800576624
116	0.3794379394
117	0.3788108257
118	0.3781550832
119	0.3774113931
120	0.3768260962
121	0.3762378083
122	0.375636359
123	0.375184672
124	0.3745051197
125	0.373976679
126	0.3734298197
127	0.372979163
128	0.3725693048
129	0.3720984259
130	0.3716281677
131	0.3711697974
132	0.370684377
133	0.3702710819
134	0.369860661
135	0.3693893561
136	0.368987128
137	0.3685355288
138	0.368033318
139	0.3675512126
140	0.3670762103
141	0.3667520021
142	0.366381084
143	0.365930285
144	0.3656253473
145	0.3652184858
146	0.364854777
147	0.3645084946
148	0.3641695811
149	0.3638450291
150	0.3634340708
151	0.3630626726
152	0.3627923997
153	0.3625041992
154	0.3621654326
155	0.3618707969
156	0.3615071309
157	0.3612521907
158	0.3609453178
159	0.3606370458
160	0.36041828
161	0.3601513471
162	0.3598422616
163	0.359530314
164	0.3592261658
165	0.3587980062
166	0.3584997262
167	0.3582814108
168	0.3580438641
169	0.3577758284
170	0.3575537169
171	0.3573043871
172	0.3570971436
173	0.3568947714
174	0.3566804792
175	0.35651808
176	0.3562758796
177	0.3560284702
178	0.3558409624
179	0.355647769
180	0.3554714064
181	0.35528803
182	0.3550706461
183	0.3548614098
184	0.3547121496
185	0.3545303364
186	0.354370665
187	0.3541541523
188	0.3540222503
189	0.3538680123
190	0.3537107979
191	0.3534245461
192	0.3532611979
193	0.353089116
194	0.3528271598
195	0.3525140333
196	0.35227523
197	0.3521391677
198	0.3519791673
199	0.3518525129
200	0.3517287271
201	0.3515829824
202	0.3514371024
203	0.3513086009
204	0.3511283147
205	0.3509774334
206	0.3508542052
207	0.3506343813
208	0.350558027
209	0.350465938
210	0.3502074095
211	0.3499651707
212	0.3498744114
213	0.3497854005
214	0.3496768353
215	0.3495658848
216	0.3494565044
217	0.3493499306
218	0.34922102
219	0.3490677772
220	0.3489313217
221	0.3488003393
222	0.3486649524
223	0.3485410713
224	0.3483198494
225	0.3481675155
226	0.3480358652
227	0.3479095087
228	0.3478272392
229	0.3477441855
