iter	Passed	Remaining
428	1620	9710
429	1622	9696
430	1624	9682
431	1628	9680
432	1631	9674
433	1634	9660
434	1636	9649
435	1638	9636
436	1640	9623
437	1643	9613
438	1646	9607
439	1650	9602
440	1653	9594
441	1656	9586
442	1660	9584
443	1663	9578
444	1669	9586
445	1671	9573
446	1679	9590
447	1685	9601
448	1688	9593
449	1691	9587
450	1695	9581
451	1699	9580
452	1704	9585
453	1710	9594
454	1716	9599
455	1721	9605
456	1727	9615
457	1733	9621
458	1740	9633
459	1747	9650
460	1752	9650
461	1755	9641
462	1758	9636
463	1762	9631
464	1764	9620
465	1769	9620
466	1772	9612
467	1775	9605
468	1779	9603
469	1788	9626
470	1793	9627
471	1797	9627
472	1801	9621
473	1805	9620
474	1808	9615
475	1811	9604
476	1816	9605
477	1820	9604
478	1823	9596
479	1825	9585
480	1829	9581
481	1832	9575
482	1835	9563
483	1837	9551
484	1839	9539
485	1841	9527
486	1843	9514
487	1845	9502
488	1848	9489
489	1850	9477
490	1852	9466
491	1854	9454
492	1860	9459
493	1864	9460
494	1868	9456
495	1871	9448
496	1874	9440
497	1877	9433
498	1881	9430
499	1885	9426
500	1888	9419
501	1895	9432
502	1899	9429
503	1901	9418
504	1905	9412
505	1912	9426
506	1919	9436
507	1925	9444
508	1930	9445
509	1932	9436
510	1935	9428
511	1938	9419
512	1940	9408
513	1944	9403
514	1947	9396
515	1950	9387
516	1952	9376
517	1954	9365
518	1956	9354
519	1962	9357
520	1964	9346
521	1970	9352
522	1976	9360
523	1979	9353
524	1981	9342
525	1984	9334
526	1986	9323
527	1990	9319
528	1993	9313
529	2000	9321
530	2007	9332
531	2011	9333
532	2016	9331
533	2018	9321
534	2029	9350
535	2032	9342
536	2034	9332
537	2037	9322
538	2042	9325
539	2044	9315
540	2047	9306
541	2053	9313
542	2056	9307
543	2059	9299
544	2063	9293
545	2067	9291
546	2070	9287
547	2074	9281
548	2077	9273
549	2080	9266
550	2082	9257
551	2085	9247
552	2087	9237
553	2090	9228
554	2093	9224
555	2097	9221
556	2100	9214
557	2103	9204
558	2105	9194
559	2107	9183
560	2110	9177
561	2113	9167
562	2117	9165
563	2120	9157
564	2124	9156
565	2130	9162
566	2135	9164
567	2140	9163
568	2142	9155
569	2146	9150
570	2148	9139
571	2150	9128
572	2153	9122
573	2156	9113
574	2159	9108
575	2161	9098
576	2164	9090
577	2168	9087
578	2174	9090
579	2184	9115
580	2191	9122
581	2194	9118
582	2198	9114
583	2201	9108
584	2204	9101
585	2208	9097
586	2211	9090
587	2213	9080
588	2216	9072
589	2219	9067
590	2223	9062
591	2225	9053
592	2232	9060
593	2235	9055
594	2241	9059
595	2243	9049
596	2246	9041
597	2251	9043
598	2253	9034
599	2258	9033
600	2263	9034
601	2266	9026
602	2268	9018
603	2273	9016
604	2276	9013
605	2283	9021
606	2288	9023
607	2292	9019
608	2300	9032
609	2304	9029
610	2306	9019
611	2309	9011
612	2312	9005
613	2315	8999
614	2318	8989
615	2321	8984
616	2326	8984
617	2329	8977
618	2332	8970
619	2335	8963
620	2337	8955
621	2340	8948
622	2346	8954
623	2350	8951
624	2360	8969
625	2362	8960
626	2369	8968
627	2372	8961
628	2381	8975
629	2384	8972
630	2387	8963
631	2392	8963
632	2396	8961
633	2402	8965
634	2405	8959
635	2409	8956
636	2413	8952
637	2418	8953
638	2422	8950
639	2426	8946
640	2429	8942
641	2433	8938
642	2439	8940
643	2441	8931
644	2443	8921
645	2448	8921
646	2452	8918
647	2457	8919
648	2461	8915
649	2464	8911
650	2467	8902
651	2471	8900
652	2473	8891
653	2477	8888
654	2488	8909
655	2493	8910
656	2496	8902
657	2501	8904
658	2506	8903
659	2509	8896
660	2511	8887
661	2513	8878
662	2516	8868
663	2518	8859
664	2520	8849
665	2522	8841
666	2525	8834
667	2529	8828
668	2531	8821
669	2533	8812
670	2536	8802
671	2539	8796
672	2542	8790
673	2544	8781
674	2546	8771
675	2548	8762
676	2551	8753
677	2553	8744
678	2555	8735
679	2557	8725
680	2560	8720
681	2562	8711
682	2565	8701
683	2567	8692
684	2569	8683
685	2571	8674
686	2573	8665
687	2580	8672
688	2583	8666
689	2586	8657
690	2588	8649
691	2598	8667
692	2604	8670
693	2608	8668
694	2611	8662
695	2616	8660
696	2620	8656
697	2622	8647
698	2625	8641
699	2627	8633
700	2631	8630
701	2635	8625
702	2638	8620
703	2642	8617
704	2645	8610
705	2649	8608
706	2653	8607
707	2657	8602
708	2659	8594
709	2661	8585
710	2664	8576
711	2667	8572
712	2669	8564
713	2672	8555
714	2674	8546
715	2676	8537
716	2678	8529
717	2682	8527
718	2690	8536
719	2693	8528
720	2695	8519
721	2700	8520
722	2703	8513
723	2708	8514
724	2710	8505
725	2713	8498
726	2717	8497
727	2721	8494
728	2724	8487
729	2726	8479
730	2729	8471
731	2732	8466
732	2734	8457
733	2736	8449
734	2738	8440
735	2741	8432
736	2744	8426
737	2747	8422
738	2751	8419
739	2754	8412
740	2757	8407
741	2760	8401
742	2764	8396
743	2766	8388
744	2768	8379
745	2770	8371
746	2772	8363
747	2774	8354
748	2777	8346
749	2779	8338
750	2782	8331
751	2784	8323
752	2786	8315
753	2788	8306
754	2791	8299
755	2793	8292
756	2796	8285
757	2798	8277
758	2801	8270
759	2807	8273
760	2811	8272
761	2816	8272
762	2821	8271
763	2823	8263
764	2826	8258
765	2829	8251
766	2832	8244
767	2834	8238
768	2836	8230
769	2839	8224
770	2842	8216
771	2846	8215
772	2848	8207
773	2852	8203
774	2854	8196
775	2860	8196
776	2862	8190
777	2867	8188
778	2870	8184
779	2873	8179
780	2875	8171
781	2878	8163
782	2880	8155
783	2882	8147
784	2884	8139
785	2886	8131
786	2889	8124
787	2891	8116
788	2893	8108
789	2895	8100
790	2897	8092
791	2900	8086
792	2903	8079
793	2905	8071
794	2907	8064
795	2909	8056
796	2911	8048
797	2914	8041
798	2916	8034
799	2918	8026
800	2921	8020
801	2923	8013
802	2928	8011
803	2935	8018
804	2941	8021
805	2944	8015
806	2951	8020
807	2955	8018
808	2958	8012
809	2960	8005
810	2965	8003
811	2969	8002
812	2973	7997
813	2976	7993
814	2983	7998
815	2986	7993
816	2989	7988
817	2993	7983
818	2998	7984
819	3001	7979
820	3004	7973
821	3006	7966
822	3008	7958
823	3012	7954
824	3015	7950
825	3019	7945
826	3023	7944
827	3028	7944
828	3032	7940
829	3036	7938
830	3039	7932
831	3041	7925
832	3047	7928
833	3052	7926
834	3055	7921
835	3057	7914
836	3060	7908
837	3066	7912
838	3070	7908
839	3072	7901
840	3075	7896
841	3078	7889
842	3081	7883
843	3084	7878
844	3087	7875
845	3090	7868
846	3093	7862
847	3098	7863
848	3102	7859
849	3104	7853
850	3107	7846
851	3110	7841
852	3112	7834
853	3114	7826
854	3116	7819
855	3119	7812
856	3121	7805
857	3123	7798
858	3126	7791
859	3128	7784
860	3132	7782
861	3136	7780
862	3149	7798
863	3152	7793
864	3154	7785
865	3156	7778
866	3164	7784
867	3167	7780
868	3170	7773
869	3172	7766
870	3174	7759
871	3179	7758
872	3182	7754
873	3186	7751
874	3189	7745
875	3191	7738
876	3195	7736
877	3201	7737
878	3207	7740
879	3210	7734
880	3216	7736
881	3218	7729
882	3224	7731
883	3227	7725
884	3229	7718
885	3232	7711
886	3234	7704
887	3236	7697
888	3238	7690
889	3240	7682
890	3243	7676
891	3247	7674
892	3250	7669
893	3253	7664
894	3259	7667
895	3263	7664
896	3266	7658
897	3269	7652
898	3272	7647
899	3276	7644
900	3281	7645
901	3287	7645
902	3291	7643
903	3293	7636
904	3295	7628
905	3298	7622
906	3301	7618
907	3311	7629
908	3315	7626
909	3323	7632
910	3326	7628
911	3329	7623
912	3333	7621
913	3336	7615
914	3340	7610
915	3342	7604
916	3344	7597
917	3347	7591
918	3350	7586
919	3359	7594
920	3365	7596
921	3368	7590
922	3370	7585
923	3373	7578
924	3375	7573
925	3386	7585
926	3391	7584
927	3394	7578
928	3396	7572
929	3401	7571
930	3404	7565
931	3407	7559
932	3410	7554
933	3415	7554
934	3418	7550
935	3422	7548
936	3427	7545
937	3430	7540
938	3432	7534
939	3435	7529
940	3439	7525
941	3441	7519
942	3446	7517
943	3455	7525
944	3457	7518
945	3459	7511
946	3461	7505
947	3465	7501
948	3468	7495
949	3470	7489
950	3472	7482
951	3475	7477
952	3478	7471
953	3483	7471
954	3487	7468
955	3490	7462
956	3496	7463
957	3504	7469
958	3508	7467
959	3514	7469
960	3517	7463
961	3521	7459
962	3525	7457
963	3527	7450
964	3530	7445
965	3534	7441
966	3538	7438
967	3540	7432
968	3544	7428
969	3546	7421
970	3551	7420
971	3553	7415
972	3556	7408
973	3559	7403
974	3563	7400
975	3566	7395
976	3568	7388
977	3570	7382
978	3573	7376
979	3575	7369
980	3577	7362
981	3580	7357
982	3583	7352
983	3587	7350
984	3590	7345
985	3592	7338
986	3594	7331
987	3597	7325
988	3601	7323
989	3605	7319
990	3607	7313
991	3612	7313
992	3618	7312
993	3623	7311
994	3625	7305
995	3627	7298
996	3629	7292
997	3631	7285
998	3634	7279
999	3636	7273
1000	3638	7266
1001	3641	7261
1002	3644	7256
1003	3647	7250
1004	3649	7244
1005	3652	7239
1006	3659	7242
1007	3663	7238
1008	3666	7235
1009	3670	7232
1010	3674	7228
1011	3676	7222
1012	3678	7216
1013	3681	7209
1014	3683	7203
1015	3685	7197
1016	3688	7191
1017	3690	7185
1018	3692	7178
1019	3696	7176
1020	3703	7177
1021	3706	7173
1022	3709	7169
1023	3714	7168
1024	3719	7167
1025	3726	7170
1026	3731	7168
1027	3737	7170
1028	3740	7164
1029	3745	7163
1030	3749	7160
1031	3752	7156
1032	3755	7150
1033	3759	7149
1034	3762	7143
1035	3765	7139
1036	3768	7133
1037	3771	7128
1038	3774	7124
