iter	Logloss
0	0.685593548
1	0.6781107416
2	0.6708985698
3	0.6638582121
4	0.6569328827
5	0.6501767117
6	0.6435755317
7	0.6371389891
8	0.6308452683
9	0.624696132
10	0.6186855205
11	0.6128439283
12	0.6068717503
13	0.6012755196
14	0.5958400888
15	0.5904919425
16	0.5853096052
17	0.579944368
18	0.5750171391
19	0.5701693417
20	0.5654334422
21	0.5608244871
22	0.5563270322
23	0.5519268776
24	0.5476293345
25	0.5434376498
26	0.5391350506
27	0.5348749036
28	0.5309887993
29	0.5269031258
30	0.5231799891
31	0.5195679859
32	0.516037108
33	0.5125543845
34	0.5089703152
35	0.5056716058
36	0.5023684898
37	0.4992052868
38	0.495892725
39	0.4928202049
40	0.4897341548
41	0.4868583197
42	0.4840518297
43	0.481142565
44	0.4784652718
45	0.4757502085
46	0.4729398972
47	0.4698932348
48	0.4674592076
49	0.4648883533
50	0.4621803825
51	0.459923873
52	0.4576529476
53	0.455310678
54	0.4531106062
55	0.451051623
56	0.4487737998
57	0.4468057424
58	0.4448891272
59	0.4429299308
60	0.4409284271
61	0.4390380043
62	0.4370496857
63	0.4353339901
64	0.4336461952
65	0.4319988519
66	0.4303997779
67	0.4286269748
68	0.4267697856
69	0.4250750155
70	0.4234311031
71	0.4218707731
72	0.420277125
73	0.4188864948
74	0.4174701063
75	0.4160394776
76	0.4145082969
77	0.4130682197
78	0.4117329694
79	0.4103909821
80	0.4089250436
81	0.4077801652
82	0.4065478046
83	0.4053033103
84	0.4041041805
85	0.4029409021
86	0.4016442754
87	0.4004925715
88	0.3995018769
89	0.3984884759
90	0.39745182
91	0.3962780517
92	0.3954091047
93	0.3943781382
94	0.3933938575
95	0.3924348645
96	0.3914859013
97	0.3905981946
98	0.3898092201
99	0.3888504826
100	0.387895661
101	0.3871207051
102	0.3860563007
103	0.3852401523
104	0.3844180303
105	0.3836472166
106	0.3828833827
107	0.382224644
108	0.3815998811
109	0.3809991794
110	0.38033613
111	0.3794551334
112	0.3788827798
113	0.3780294609
114	0.3772909608
115	0.376442854
116	0.3758183727
117	0.3752071041
118	0.3746125571
119	0.374048112
120	0.3735847205
121	0.3729181935
122	0.3721686554
123	0.3716164071
124	0.3710978078
125	0.3705693593
126	0.3701015028
127	0.3695472757
128	0.3690645411
129	0.368514918
130	0.3680259227
131	0.3674590694
132	0.3669376025
133	0.3665399527
134	0.3660952332
135	0.3656644781
136	0.3651944196
137	0.3647865035
138	0.3642947072
139	0.3638097714
140	0.3633290256
141	0.3629628875
142	0.3625115168
143	0.3622038351
144	0.3618995582
145	0.3614555578
146	0.3610913611
147	0.3607578227
148	0.3604400167
149	0.3601080556
150	0.3597808053
151	0.3593812911
152	0.359069372
153	0.3588401938
154	0.3585156296
155	0.3582821623
156	0.357993263
157	0.3577837499
158	0.3574261241
159	0.3571323637
160	0.3567212264
161	0.3563999015
162	0.3560781972
163	0.3558940497
164	0.3556311168
165	0.3552605437
166	0.3550019079
167	0.3548204916
168	0.3546331488
169	0.3543935926
170	0.354106337
171	0.3538243608
172	0.3536734595
173	0.3534931125
174	0.3532157838
175	0.3528656211
176	0.3526125433
177	0.3523478168
178	0.3520902636
179	0.3519184322
180	0.3517563215
181	0.3515247706
182	0.3512736232
183	0.3510901718
184	0.350785293
185	0.3504833137
186	0.3502507265
187	0.3500342177
188	0.3498071354
189	0.3496334896
190	0.3493551742
191	0.3491185681
192	0.3489659412
193	0.34869912
194	0.3485475947
195	0.3483211523
196	0.348215414
197	0.3480813837
198	0.3479331188
199	0.3477488264
200	0.3476434527
201	0.3474571698
202	0.3472735223
203	0.3470856615
204	0.3469053303
205	0.3467437827
206	0.3465704039
207	0.3464138233
208	0.3462858838
209	0.3461169265
210	0.3459967025
211	0.3458315977
212	0.3456871756
213	0.3455763582
214	0.3454232454
215	0.3453322305
216	0.3451456337
217	0.3449231338
218	0.3448357618
219	0.3446193535
220	0.3445064044
221	0.3443893999
222	0.3442007934
223	0.3440091858
224	0.3438917806
225	0.3437526644
226	0.3436280563
227	0.3435096787
228	0.3434354217
229	0.3433390265
230	0.3432054536
231	0.3430480181
232	0.3429670579
233	0.3428599854
234	0.3427554272
235	0.3426390323
236	0.342561495
237	0.3424837846
238	0.3423586689
239	0.3422171054
240	0.3421016363
241	0.3419891434
242	0.3419007783
243	0.3417812841
244	0.3416346278
245	0.3415195023
246	0.3413845563
247	0.3413110362
248	0.3412365336
249	0.3411441666
250	0.340951857
251	0.3408904635
252	0.3407930699
253	0.3406318688
254	0.3405335816
255	0.340481954
256	0.3404089447
257	0.3403504959
258	0.3402691743
259	0.3402123017
260	0.3400407085
261	0.3399851869
262	0.339896021
263	0.3398494888
264	0.3397894307
265	0.3397171883
266	0.3396582229
267	0.339502141
268	0.3394609767
269	0.3393926691
270	0.3393044047
271	0.3391878714
272	0.3391499512
273	0.3390557996
274	0.3389436104
275	0.3388971327
276	0.3388156081
277	0.3387028913
278	0.3386331576
279	0.3385544014
280	0.338468409
281	0.3383851057
282	0.3383336566
